sample	treatment	sampling_site	season	vegetation	abundance	pH	percentage_of_C
Sample_1	W	1	winter	no	11	6	0.303804516798321
Sample_2	C	2	winter	no	2	6	0.773125902956932
Sample_3	C	1	winter	no	14	12	0.0106227665312761
Sample_4	W	4	summer	NA	20	1	0.903548481338669
Sample_5	W	3	winter	yes	11	2	0.607326066522519
Sample_6	C	4	summer	yes	6	12	0.375504500757184
Sample_7	W	2	winter	NA	4	2	0.347842528901475
Sample_8	C	8	summer	yes	NA	4	0.103662468438955
Sample_9	C	5	summer	yes	3	4	0.526103344643348
Sample_10	W	5	summer	no	17	1	0.204873942555214
Sample_11	W	6	winter	no	12	12	0.343547699371429
Sample_12	C	7	summer	no	7	2	0.984645933606749
Sample_13	W	6	winter	yes	6	3	0.401447787557751
Sample_14	W	8	summer	yes	NA	13	0.0251166314536932
Sample_15	C	3	winter	yes	20	2	0.184400935664058
Sample_16	W	7	summer	NA	16	13	0.461327884797647
